likes,orimessage,message,noun
100,Attorneys believe the adoption may be a legal maneuver as he faces a trial for a drunk driving incident that killed a 23-year-old.,attorney believe adopt may legal mane face trial drunk drive inced kill year old,attorneys adoption maneuver trial drunk driving incident
100,Police in Ithaca reviewing videos as they work to determine what led to the stabbing death of an Ithaca College sophomore on Cornell University's campus.,policy Ithaca review video work determine led stab death Ithaca college sophomore cornel univers camp,police ithaca videos death college sophomore cornell university campus
100,Austin Sigg is accused of killing Ridgeway while she was on her way to school on Oct. 5. The fifth-graderÃ¢ÂÂs body was found dismembered in a park days later.,austin sign accus kill ridgeway way school oct fifth grader Bodi found dismemb park day later,austin sigg ridgeway way school body park days
100,Tampa socialite Jill Kelley is fighting back.,tampa socialist jill Kelley fight back,tampa socialite jill kelley
100,Olivia Kuljian watched from the beach as her brother and parents were pulled out into the ocean by the rough surf.,olivia julian watch beach brother parent pull ocean rough surf,beach brother parents ocean surf
100,Who was UN ambassador Susan Rice before Benghazi?,un ambassador susan rice benghazi,ambassador rice benghazi
100,Are you and your family ready for flu season?,family ready flu season,family ready flu season
100,Write these down and avoid a write-up.,write avoid write,down write-up
100,ABC News has confirmed from a source close to Anthony that the video was genuine. Video via Good Morning America.,abc news confirm source close anthony video genuine video via good morn america,news source close video video morning america
100,The 'urban media' site receives 500 million impressions a month according to it's founder.,urban media site receive million impress month accord founder,media site impressions month founder
100,"There have previously been blackouts in certain towns and areas, but never in the whole country.",previous blackout certain town area never whole country,towns areas country
100,"On Nightline tonight: The condition left Tiffanie DiDanato with a 'typical size' torso, but abnormally short arms and legs. By the time she was in middle school, she was around 3-foot-6.",nightly tonight Condit left Tiffani didanato typic size torso abnormal short arm leg time middle school around foot,tonight condition didanato size torso arms legs time school
100,"There are numerous other credit entities, from bank check screening to medical record checks that must also comply with the law.",number credit entity bank check screen medic record check must also comply law,credit entities bank check record checks law
100,"The 2010 and 2012 lame-ducks offer a case study in opposite political moments, but there are lessons to be learned from last time.",lame duck offer case study opposit polit moment lesson learn last time,lame-ducks case study moments lessons time
100,"As flu season closes in, debunk four of the most common flu shot myths.",flu season close debunk four common flu shot myth,flu season closes flu myths
100,"An eccentric artist known in Texas for the whimsical 'Cadillac Ranch' has been accused in recent weeks of a slew of sexual abuse crimes against underage boys, filed in a series of lawsuits and criminal charges.",accent artist known tea whimsic cadillac ranch accus recent week slew sexual ABus crime undrag boy file Seri lawsuit crimina charge,artist texas ranch weeks slew abuse crimes boys series lawsuits charges
100,"Packages on the site range from $5,000 to $15,000 and call the expenditure a 'worthwhile investment' in order to have an American baby.",package site rang call expenditure worthwhile invest order american Babi,packages site range expenditure investment order baby
100,The new pictures were found in a Los Angeles pharmacy's photo printing database. ,new picture found lo angel pharmacic photo print database,pictures los pharmacy photo printing database
100,"On Dec. 19, 1959, the Walker family, including parents Cliff and Christine and their toddler children Jimmie and Debbie, were shot to death in their Osprey home.",dec walker family include parent cliff Christin toddler children jimmy Debbi shot death osprey home,dec. walker family parents cliff christine toddler children jimmie debbie death home
100,Missing Indiana University student Lauren SpiererÃ¢ÂÂs parents said today that they do not believe their daughterÃ¢ÂÂs disappearance was a Ã¢ÂÂrandom abduction.Ã¢ÂÂ,miss indiana univers student Lauren spieler parent said today believe daughter disappear random abduct,indiana university student parents today daughterã¢ââs disappearance ã¢âârandom abduction. 
100,Looking for something for that special 1-percenter in your life? Look no further.,look cometh special percent life look,something life further
100,How does one come up with $4 trillion in revenue and spending cuts?,one come trillion revenue spend cut,revenue spending cuts
100,"Accused movie theater shooter James Holmes had 'a brief romantic relationship' with a graduate student at the University of Colorado, according to one of thousands of emails released to ABC News today.",accus move theater shooter Jame holm brief roman relationship gradual student univers colorado accord one thousand email release abc news today,movie theater shooter james holmes relationship graduate student university colorado thousands emails news today
100,"Coated aspirin may lose some of its cardiovascular benefits because it takes longer for the drug to dissolve into the bloodstream, a new study suggested.",coat aspirin may lose cardiovascular benefit take longer drug dissolve bloodstream new study suggest,aspirin benefits drug bloodstream study
100,"Recent negotiations on how to deal with the fiscal cliff seem, at least on the outside, very different.",recent negoti deal fiscal cliff seem least outside differ,negotiations cliff
100,Egyptian army moves to restore order after deadly protests amid constitutional crisis.,egyptian army move restore order deadly protest amid constitute crisis,army moves order protests crisis
100,The Obama administration fears that the beleaguered Syrian regime may unleash chemical weapons on rebels who are pressing their campaign closer to the capital of Damascus.,Obama administer fear beleagu syrian regime may unleash chemic weapon rebel press campaign closer Capito damascus,administration fears regime chemical weapons rebels campaign closer capital damascus
100,How social media could curb childhood obesity.,social media could curb childhood obes,media childhood obesity
100,President Obama is dropping his principled objection to some forms of political fundraising to help pay for the post-election party.,preside Obama drop principle object form polit fundraise help pay post elect parti,president obama objection forms fundraising post-election party
100,"Hamas leader-in-exile Khaled Meshaal; center, left; and Hamas leader in the Gaza Strip Ismail Haniya wave from the rooftop of a car during a parade following Meshaal's arrival in Rafah, southern Gaza, Dec. 7, 2012. Meshaal is making his first-ever visit to the Gaza Strip amid tight security for festivities marking the ruling Islamist movement's 25th anniversary. More of today in photos:  ",Hama leader evil chale mesial center left Hama leader Gaza strip Ismail Hanya wave rooftop car parade follow mesial arrive Rafa southern Gaza dec mesial make first ever visit Gaza strip amid tight secure festive mark rule Islamist movement th anniversary today photo,meshaal center leader gaza strip ismail haniya rooftop car parade meshaal arrival rafah gaza meshaal visit gaza strip security festivities movement anniversary today photos
100,What the $25B foreclosure settlement means for you.,b foreclosure settlement mean,foreclosure settlement
100,The thieves taking everything from money for the poor to gift cards for seminary students.,thief take every money poor gift card seminary student,thieves everything money cards students
100,"This Brazilian TV show snags victim after victim, and the clips have gone global. Has reality TV just crossed a line?",brazilian tv show snag victim victim clip gone global reality tv cross line,tv show victim victim clips reality tv line
100,"The agencies are considering which workers to furlough, projects to put on hold and offices that will have to close.",agent consed worker furlough project put hold offic close,agencies workers projects hold offices
100,"Throughout the 10-minute video, the linebacker, who identified himself as a Chiefs player, cooperated with police.",throughout minute video lineback identify chief player cooper policy,video linebacker chiefs player police
100,"The race is down to three men, with experts saying each has a good chance at winning.",race three men expert say good Chanc win,race men experts chance
100,Can't figure out what to get? Buy something for their pet...,figure get buy cometh pet,something pet
100,The Arizona State University student was last seen being escorted out of the Cadillac Ranch bar at Tempe Marketplace on Nov. 30 during a fraternity event.,arizona state univers student last seen escort cadillac ranch bar temp marketplace nov fratery event,arizona state university student cadillac ranch bar marketplace fraternity event
100,Here are our top pics for the best cameras this holiday season.  ,top pic best camera holiday season,pics cameras holiday season
100,"Poke, like, wine. Would you give a bottle over Facebook?",poke like wine would give bottle Facebook,poke wine bottle facebook
100,"Nearly 40 percent of seafood sold in New York City is mislabeled, according to a new report.",nearly percent seafood sold new york city mislabel accord new report,percent seafood york city report
100,"Rachel Buffett, the California actress who is accused of helping her ex-fiance Dan Wozniak cover up an alleged double-murder, says she was duped, and her only crime was falling for the wrong man.",Rachel buffets california actress accus help ex fianc dan Wozniak cover alley doubt murder say dupe crime fall wrong man,rachel buffett california actress ex-fiance dan wozniak double-murder crime man
100,Have you reviewed your year with Facebook yet? Did Facebook's algorithms accurately sum up your year?,review year Facebook yet Facebook algorithm accur sum year,year facebook facebook algorithms year
100,"Nicholas Kristof, the journalist who champions human rights around the world, wants the government to stop giving welfare checks to poverty-stricken children with disabilities.",Nichola Kristof journalist champion human right around world want govern stop give welfare check poverty stricken children disable,nicholas kristof journalist rights world government welfare checks children disabilities
100,"A municipality worker sits in front of anti-riot police during a demonstration held outside the Parliament in Athens, Dec. 12, 2012. Germany and France signaled, Dec. 12 that a Greek debt buy-back passed a critical bailout test, saying it was 'satisfactory' even though it will cost more than expected. More of today in photos:  ",municipal worker sit front anti riot policy demonstr held outside parliament then dec germany franc signal dec greek debt buy back pass critic bailout test say satisfactory even though cost expect today photo,municipality worker front police demonstration parliament athens germany france debt buy-back bailout test 'satisfactory today photos
100,"Forensic tests are being performed on the crime's apparent getaway car, found legally parked on a street in the borough of Queens.",fores test perform crime appar getaway car found legal park street borough queen,tests crime getaway car street borough queens
100,"If Sen. John Kerry is nominated as Secretary of State, then out-going Sen. Scott Brown is widely expected to seek out his old job.",sen john Kerri nomen secretary state go sen scott brown wide expect seek old job,john kerry secretary state sen. scott brown job
100,"The Marin County Department of Public Health is investigating the two cases, which are thought to be unrelated.",Marin count depart public health investing two case thought unreal,county department health cases
100,"Ã¢ÂÂThereÃ¢ÂÂs nothing to this, Ã¢ÂÂ said one U.S. official, who added that there were no indications that the reports were true.",not said one u office ad indic report true,nothing   official indications reports
100,"'His drinking was becoming an issue,' friend Elizabeth McClean said. ",drink become issue friend elizabeth Maclean said,drinking issue mcclean
100,"The total amount of the bill will remain $60.4 billion, suggesting some of  the changes effectively will divert money away from Hurricane Sandy aid to Hurricane Isaac relief.",total amount bill remain billion suggest chang effect divert money away hurricane Sandi aid hurricane isaac relief,amount bill changes money hurricane sandy aid relief
100,"Since the YOLO trend began, about 408,000 YOLO-tagged tweets had something to do with 'texting while driving,' according to Topsy.",since Yolo trend began Yolo tag tweet cometh text drive accord tops,trend tweets something topsy
100,Romney claims victory in close Main caucuses. See how the rest of the pack finished.,romney claim victory close main caucus see rest pack finish,romney claims victory caucuses rest pack
100,Some have been busy giving jolly old St. Nick a bad name.,busy give jolly old st nick bad name,st. name
100,Here's your update on the Fiscal Cliff,update fiscal cliff,update cliff
100,"An anonymous blogger claiming to be an ex-TSA agent, says he or she has the answer. ItÃ¢ÂÂs not quite as illicit as you may think.",anonym blogger claim ex tea agent say answer quit illicit may think,blogger agent answer itã¢ââs
100,Hawaii Gov. Neil Abercrombie announced Lt. Gov. Brian Schatz will replace the late Sen. Daniel Inouye as the U.S. senator from Hawaii.,hawaii gov Neil Abercromby announce lt gov brian Schatz replace late sen daniel Inoue u sent hawaii,hawaii gov abercrombie gov schatz sen. daniel inouye senator hawaii
100,The 40 patients in the study who received the substitute drug experienced complications at about twice the rate of the 181 patients studied who didn't have to switch drugs.,patient study receive substitute drug experience complin twice rate patient study switch drug,patients study drug complications rate patients drugs
100,Do you think the GOP Contest Will Be Ã¢ÂÂTwo Person RaceÃ¢ÂÂ By March?,think gop contest two person race march,gop contest person raceã¢ââ march
100,"She has freckles, a normal-sized head, wears t-shirts and jeans. She is also Ã¢ÂÂawkwardly dressedÃ¢ÂÂ and Ã¢ÂÂpretty cute.Ã¢ÂÂ She is the average female Mac user, according to an infographic complied and released by software start-up BlueStacks.",freckle normal size head wear shirt jean also awkwardly dress pretty cute average femal mac user accord infograph comply release software start bluestack,freckles head t-shirts jeans cute.  mac user complied software bluestacks
100,"The arrangement, he says, will allow him to 'never have to work again forever.'",arrange say allow never work fore,arrangement
100,The GMA 'Go-Go Juice' story that rocked the internet this week.,ma go go juice story rock internet week,gma juice story internet week
100,"A Russian-made passenger plane crashed upon landing at MoscowÃ¢ÂÂs Vnukovo airport on Saturday, killing at least four people, according to RussiaÃ¢ÂÂs Interior Ministry.",russian made passing plane crash upon land moscow vnukovo airport saturday kill least four people accord russia interior ministry,passenger plane moscowã¢ââs vnukovo airport saturday people ministry
100,The news of his marriage Ã¢ÂÂ brought back a flood of memories and emotions.,news marriage brought back flood memory mot,news marriage ã¢ââ flood memories emotions
100,What's your New Year's resolution?,new year resolute,year resolution
100,"After taking a shoulder hit during practice, Cody Lehe became a victim of what doctors call Second Impact Syndrome.",take shoulder hit practic Codi lee became victim doctor call second impact syndrome,shoulder hit practice cody lehe victim doctors impact syndrome
100,"Two of the GOP's top White House prospects for 2016 chose opposite sides in the fiscal cliff battle, as a deal to avoid automatic tax increases made its way through Congress and to the president's desk this week.",two gop top white house prospect chose opposit side fiscal cliff battle deal avoid automat tax increase made way congress preside desk week,gop house prospects sides cliff battle deal tax increases way congress president desk week
100,Have you used Snapchat? Those photos may not be gone forever after they're sent.,use snapchat photo may gone fore sent,photos
100,An exclusive via the ABC News Investigative Team: The Blotter,excls via abc news investing team blotter,news team blotter
100,"Some headstones are barely visible above the water, and waves lap at the bricks and concrete surrounding caskets buried at the site since the late 1800s.",headstone bare visible water wave lap brick concert surround casket buri site since late,headstones water lap bricks caskets site 1800s
100,City says there was no coverup in case of alleged rape by two high school football players.,city say coverup case alley rape two high school football player,city coverup case rape school football players
100,The membership's primary concern centers on what the group says is flawed research that has misled the public about the benefits of moderate UV exposure.,membership primary concern center group say flaw research mist public benefit moder uv exposure,membership concern centers group research public benefits exposure
100,"To those who haven't followed the Senate closely in the past decade, he's probably not a household name.",follow sent close past decad probabl household name,senate decade household name
100,"A gasoline-soaked carpet, loud music and a remote control car were part of an elaborate plan by accused Aurora gunman James Holmes' to trick someone into triggering a blast in his apartment.",gasoline soak carpet loud music remote control car part elabor plan accus aurora gunman Jame holm trick someone trigger blast apart,carpet music control car part plan aurora james holmes someone blast apartment
100,It was the second incident involving one of Boeing's new Dreamliner planes in as many days for the airline.,second inced involve one boe new dreamlit plane mani day airline,incident dreamliner planes days airline
100,"Jodi Arias blatantly lied to police who asked her about Travis Alexander's death, telling them in recorded phone calls that she kept trying to call and message Alexander the week of his death but never heard back from him.",Jodi aria blatantly lie policy ask trav Alexandr death tell record phone call kept tri call message Alexandr week death never heard back,jodi arias travis alexander death phone week death
100,Solis calls her departure Ã¢ÂÂone of the most difficult decisionsÃ¢ÂÂ she has made.,soli call departure one difficult decks made,solis departure ã¢ââone decisions 
100,"The violent rebellion against Syrian President Assad has raged for almost two years and the United Nations recently estimated that 60,000 Syrians may have died in the conflict.",violent rebellion syrian preside Assad rage almost two year unit nation recent estime syrian may die conflict,rebellion president assad years nations syrians conflict
100,"Senate Democrats said if House Republicans seek to go ahead with their backup standalone bill on payroll tax, they will risk Ã¢ÂÂlooking like they are leaving unemployed Americans in the lurch.Ã¢ÂÂ",sent democrat said house republican seek go ahead backup standalone bill patrol tax risk look like leave unemploy american lurch,senate democrats house backup standalone bill payroll tax americans lurch. 
100,Missed this week's news from CES 2013? Here are some of the highlights.,miss week news ce highlight,week news ces highlights
100,"This morning on This Week, Sen. Bob Corker, R-Tenn., ranking member of the Foreign Relations Committee expressed concerns about the Ã¢ÂÂtemperamentÃ¢ÂÂ of Chuck Hagel, the man President Obama nominated to be his next Secretary of Defense.",morn week sen bob corker r tenn rank member foreign relate committed express concern tempera chuck hazel man preside Obama nomen next secretary defense,morning week bob corker member relations committee concerns ã¢ââtemperament  chuck hagel man president secretary defense
100,Print Signal Forget about chocolates and toothpicks with your check.,print signal forget choco toothpick check,signal forget chocolates toothpicks check
100,Despite its comic theme and dreaded protagonist the book is a hit with a German audience that has long wrestled with Hitler's legacy.,despite comic theme dread protagonist book hit german audience long wrestle hitler legacy,theme protagonist book hit audience hitler legacy
100,"MIT has launched an internal probe of the events leading up to the suicide of internet activist Aaron Swartz.'It pains me to think that MIT played any role in a series of events that have ended in tragedy,' MIT President L. Rafael Reif said in a statement.",mit launch intern probe event lead suicide internet activist aaron Swartz pain think mit play role Seri event end tragedy mit preside l Rafael reif said statement,mit probe events suicide activist aaron swartz mit role series events tragedy mit president reif statement
100,"The murder trial of Jodi Arias is drawing comparisons to the trial of Casey Anthony, another woman who initially told elaborate lies and then claimed at trial that she was a victim.",murder trial Jodi aria draw comparison trial Casey anthony anorth woman initis told elabor lie claim trial victim,murder trial jodi arias comparisons trial casey anthony woman lies trial victim
100,"The middle-aged couple, still known only by their aliases, Andreas and Heidrun Anschlag, denied the charges.",middle age couple still known alias Andrea Heidrun anschlag deni charge,couple aliases andreas heidrun anschlag charges
100,"The attack was apparently carried out by a one-eyed jihadi leader, Mokhtar Belmokhar, who has been linked to a series of kidnappings of foreign nationals for ransom in North Africa that have earned tens of millions of dollars for al Qaeda's local affiliate, al Qaeda in the Islamic Maghreb (AQIM).",attack appar carri one eye jihads leader mookhtar belmokhar link Seri kidnap foreign nation ransom north africa earn ten million dollar al Baeda local affile al Baeda islam Maghreb aim,attack jihadi leader mokhtar belmokhar series kidnappings nationals ransom africa tens millions dollars al qaeda affiliate qaeda maghreb aqim
100,On Nightline: Bikram Yoga is Eastern mind-over-body discipline meets Western obsession with fitness. A booming business. Bikram has made millions off the sweat of others.,nightly Bikram yoga eastern mind Bodi discipline meet western obsess fit boom busy Bikram made million sweat other,nightline bikram yoga discipline meets obsession fitness business bikram millions sweat others
100,The defense secretary is on a European trip that he has characterized as his final trip overseas while in his post.,defense secretary european trip character final trip oversea post,defense secretary trip trip post
100,The defense will begin presenting evidence on Jan. 29 to support its claim that Arias killed Alexander in self-defense.,defense begin present evil jan support claim aria kill Alexandr self defense,defense evidence jan. claim arias alexander self-defense
100,"In an open letter published today in the Journal News, which covers Westchester, Putnam, and Rockland Counties, publisher Janet Hasson stood by the paperÃ¢ÂÂs decision to publish the map but said they had to take it down to comply newly-passed legislation.",open letter publish today journal news cover westchest Putnam Rockland count publish janet Hanson stood paper decks publish map said take comply newly pass legis,letter today journal news westchester putnam rockland counties publisher janet hasson paperã¢ââs decision map legislation
100,"SheÃ¢ÂÂs not alone in pursuing the seat vacated by Sen. Tim Scott, the ex-congressman appointed by South Carolina Gov. Nikki Haley to Jim DeMintÃ¢ÂÂs former Senate seat.",Alon purse seat vacant sen tim scott ex congressman appoint south carolina gov Nikki Haley jim demist former sent seat,sheã¢ââs seat tim scott gov haley senate seat
100,"Some CEOs don't know when to be a little less, er,  blunt.",ceo know little less er blunt,ceos er blunt
100,"Notre Dame star linebacker Manti Te'o told ESPN that he 'never, not ever' was involved in creating the hoax that had him touting what turned out to be a fictional girlfriend, 'Lennay Kekua.'",not dame star lineback Manti te told ESPN never ever involve creat hoax tout turn fiction girlfriend Lenny kekuna,dame star linebacker manti te'o espn hoax girlfriend kekua
100,"The script for the elaborate hoax played on Manti Te'o, from a horrific car accident to a leukemia diagnosis, according to reports, had parallels to the alleged perpetrator's life.",script elabor hoax play Manti te horrid car acid leukemia diagnosis accord report parallel alley perpet life,script hoax manti te'o horrific car accident leukemia diagnosis reports parallels perpetrator life
100,Here are some of the more entertaining items honoring past presidents.,entertain item honor past preside,items presidents
100,How loose weapons streaming out of Libya factor into the deadly raid on an Algerian gas plant in the name of al Qaeda.,loos weapon stream libya factor deadly raid algerian ga plant name al Baeda,weapons factor raid gas plant name qaeda
100,"Of two potential Democratic successors to Barack Obama, one has a clear advantage in personal popularity.",two potent democrat successor Barack Obama one clear advantage person popular,successors obama advantage popularity
100,The latest job numbers are in from December and they did not under perform. Are you bracing for holiday hire backlash?,latest job number decem perform brace holiday hire backlash,job numbers december perform holiday hire backlash
100,Exclusive information coming out of Manti Te'o's first television interview. Katie Couric has the details...,excls inform come Manti te first televise interview kati courie detail,information manti te'o television interview katie couric details
100,"Some owners have tried to protect their pets by putting muzzles on them, lest they stumble upon the dog hunters' traps.",owner tri protect pet put muzzle lest stumble upon dog hunter trap,owners pets muzzles dog hunters traps
100,"A trade group of fashion designers has partnered with a prominent juice cleanse company to provide 'nutritious' and 'convenient' food for models at a discount during Fashion Week, but critics say the move just puts more pressure on models to be dangerously thin.",trade group fashion design partner Promin juice cleans company proved nutrition convent food model discount fashion week critic say move put pressure model danger thin,trade group fashion designers juice cleanse company 'convenient food models discount fashion week critics move pressure models
100,"A civil defamation case between two of the biggest radio names in the Tampa Bay, Fla., area took an odd turn last week when an attorney representing one of the DJs ended up behind bars for alleged DUI, in what his legal team calls a setup.",civil defame case two biggest radio name tampa bay Fla area took odd turn last week attorney repress one dj end behind bar alley dui legal team call setup,defamation case radio names tampa bay fla. area turn week attorney djs bars dui team setup
100,"'This is the sort of thing the government winks at,' said David North, a researcher with the non-partisan Center for Immigration Studies. 'It's just one more of the elements in which the American immigration policy is an open door situation.'  Do you agree?",sort thing govern wink said david north research non partisan center immigr study one element american immigr policy open door situate agre,'this sort thing government winks north researcher center immigration studies elements immigration policy door situation
100,"Jodi Arias' former live-in boyfriend Darryl Brewer said she called him in May 2008, asking to borrow gas cans, but would not explain why.",Jodi aria former live boyfriend Darryl brewer said call may ask borrow ga can would explain,jodi arias boyfriend darryl brewer gas cans
100,"The testimony in Arias' trial for killing Alexander in 2008 was intended to bolster the defense's argument that she killed him in self defense, that Alexander was a sexual deviant who treated Arias as his 'dirty little secret.'",testimony aria trial kill Alexandr intend bolster defense argument kill self defense Alexandr sexual deviant treat aria dirty little secret,testimony arias trial alexander defense argument self defense alexander deviant
